"x2","n","welfare","sPr","P","dChisq","dDev","dBhat"
322,1,0,-0.15018,0.02197,0.02256,0.04461,0.00009
323,1,0,-0.15018,0.02197,0.02256,0.04461,0.00009
324,1,0,-0.15018,0.02197,0.02256,0.04461,0.00009
325,1,0,-0.15018,0.02197,0.02256,0.04461,0.00009
326,1,0,-0.15018,0.02197,0.02256,0.04461,0.00009
327,1,0,-0.15018,0.02197,0.02256,0.04461,0.00009
328,1,0,-0.15018,0.02197,0.02256,0.04461,0.00009
329,1,0,-0.15018,0.02197,0.02256,0.04461,0.00009
330,1,0,-0.15018,0.02197,0.02256,0.04461,0.00009
331,1,0,-0.15018,0.02197,0.02256,0.04461,0.00009
332,1,0,-0.15018,0.02197,0.02256,0.04461,0.00009
333,1,0,-0.15018,0.02197,0.02256,0.04461,0.00009
334,1,0,-0.15018,0.02197,0.02256,0.04461,0.00009
335,1,0,-0.15018,0.02197,0.02256,0.04461,0.00009
336,1,0,-0.15018,0.02197,0.02256,0.04461,0.00009
337,1,0,-0.15018,0.02197,0.02256,0.04461,0.00009
338,1,0,-0.15018,0.02197,0.02256,0.04461,0.00009
339,1,0,-0.15018,0.02197,0.02256,0.04461,0.00009
340,1,0,-0.15018,0.02197,0.02256,0.04461,0.00009
341,1,0,-0.15018,0.02197,0.02256,0.04461,0.00009
342,1,0,-0.15018,0.02197,0.02256,0.04461,0.00009
343,1,0,-0.15018,0.02197,0.02256,0.04461,0.00009
344,1,0,-0.15018,0.02197,0.02256,0.04461,0.00009
345,1,0,-0.15018,0.02197,0.02256,0.04461,0.00009
346,1,0,-0.15018,0.02197,0.02256,0.04461,0.00009
347,1,0,-0.15018,0.02197,0.02256,0.04461,0.00009
348,1,0,-0.15018,0.02197,0.02256,0.04461,0.00009
349,1,0,-0.15018,0.02197,0.02256,0.04461,0.00009
350,1,0,-0.15018,0.02197,0.02256,0.04461,0.00009
351,1,0,-0.15018,0.02197,0.02256,0.04461,0.00009
